Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10, Spline 11, Spline 12, Spline 13, Spline 14, Spline 15, Spline 16, Spline 17, Spline 18
4.010025e-01, 0, 0, 0, 3.136161e-01, 6.647477e-01, 2.163617e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.060150e-01, 0, 0, 0, 2.826615e-01, 6.865566e-01, 3.078184e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.110276e-01, 0, 0, 0, 2.533150e-01, 7.051495e-01, 4.153554e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.160401e-01, 0, 0, 0, 2.255765e-01, 7.205263e-01, 5.389727e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.210526e-01, 0, 0, 0, 1.994460e-01, 7.326870e-01, 6.786704e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.260652e-01, 0, 0, 0, 1.749235e-01, 7.416316e-01, 8.344483e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.310777e-01, 0, 0, 0, 1.520091e-01, 7.473603e-01, 1.006306e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.360902e-01, 0, 0, 0, 1.307027e-01, 7.498728e-01, 1.194245e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.411028e-01, 0, 0, 0, 1.110043e-01, 7.491693e-01, 1.398264e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.461153e-01, 0, 0, 0, 9.291399e-02, 7.452497e-01, 1.618363e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.511278e-01, 0, 0, 0, 7.643168e-02, 7.381141e-01, 1.854542e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.561404e-01, 0, 0, 0, 6.155740e-02, 7.277624e-01, 2.106802e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
