Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10
9.547739e-01, 0, 0, 0, 0, 0, 0, 0, 6.545289e-02, 5.272594e-01, 4.072877e-01, 
9.597990e-01, 0, 0, 0, 0, 0, 0, 0, 5.171587e-02, 4.880685e-01, 4.602157e-01, 
9.648241e-01, 0, 0, 0, 0, 0, 0, 0, 3.959496e-02, 4.440292e-01, 5.163758e-01, 
9.698492e-01, 0, 0, 0, 0, 0, 0, 0, 2.909017e-02, 3.951415e-01, 5.757683e-01, 
9.748744e-01, 0, 0, 0, 0, 0, 0, 0, 2.020151e-02, 3.414055e-01, 6.383930e-01, 
9.798995e-01, 0, 0, 0, 0, 0, 0, 0, 1.292897e-02, 2.828211e-01, 7.042499e-01, 
9.849246e-01, 0, 0, 0, 0, 0, 0, 0, 7.272544e-03, 2.193884e-01, 7.733391e-01, 
9.899497e-01, 0, 0, 0, 0, 0, 0, 0, 3.232242e-03, 1.511073e-01, 8.456605e-01, 
9.949749e-01, 0, 0, 0, 0, 0, 0, 0, 8.080604e-04, 7.797783e-02, 9.212141e-01, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
